Club Name,Type,FB,IG,Website,Notes
Pilipinos In Engineering and Science,Academic,https://www.facebook.com/uclapies/,https://www.instagram.com/pierrethepiebear/,https://piesucla.wixsite.com/pies,
Institute of Electrical and Electronic Engineers at UCLA,Academic,https://www.facebook.com/groups/uclaieee,https://www.instagram.com/uclaieee/,http://ieeebruins.com/,
CruX @ UCLA,Academic,https://www.facebook.com/CruXUCLA/,https://www.instagram.com/cruxucla/,https://www.cruxucla.com/,"We are a student-led neurotech organization. Join us if you're interested in learning how to meld the mind with machine through brain-computer interfaces!"
The International Circle of Genetics Studies,Academic,,Instagram.com/uclaicgs,https://www.intlgenetics.com/,
HOSA - Future Health Professions @ UCLA,Academic,https://www.facebook.com/uclahosa/,https://www.instagram.com/uclahosa/,https://uclahosa.wixsite.com/website,
Society for Physical and Occupational Therapy Club at UCLA,Academic,https://m.facebook.com/SPOTatUCLA/,https://instagram.com/uclaspot?utm_medium=copy_link,,Pre-Professional Club specializing in Physical Therapy and Occupational Therapy
American Society of Civil Engineers,Academic,facebook.com/groups/AsceUcla,instagram.com/asce_bruins/,ascebruins.org,
Environmental Student Network,Academic,https://www.facebook.com/uclaESN/,https://www.instagram.com/uclaesn/?hl=en,,
The Undergraduate Research Journal of Psychology,Academic,https://www.facebook.com/UCLApsychjournal/,https://www.instagram.com/uclapsychjournal/,https://urjp.psych.ucla.edu/,"URJP aims to serve the undergraduate community by making the publication process more accessible and by highlighting the interesting and relevant nature of psychology. Our group of undergraduate staff and graduate mentors work year round to collect and edit papers from all over the world into a final, publishable journal at the end of each school year."
Philosophy Club at UCLA,Academic,https://www.facebook.com/groups/BruinPhilosophy,https://www.instagram.com/ucla_philosophy_club/,https://philosophy.ucla.edu/undergraduate/philosophy-club/,
Materials Research Society at UCLA,Academic,https://www.facebook.com/MRSUCLA/,https://www.instagram.com/mrsucla/,http://www.seas.ucla.edu/mrs/,"MRS email: materialsresearchbruins@gmail.com, Contact Person email: garretmay00@gmail.com"
American Institute of Chemical Engineers,Academic,https://www.facebook.com/AIChEatUCLA/,https://www.instagram.com/aicheatucla/,http://aiche.seas.ucla.edu/,The mission of the UCLA Student Chapter of the American Institute of Chemical Engineers is to promote excellence in the Chemical Engineering Department of the School of Engineering and Applied Science by providing resources and support to chemical engineering students so that they can succeed academically and advance professionally. Make sure to stay updated by signing up for our mailing list and joining our Slack channel on our website!
BiochemASE,Academic,facebook.com/biochemase,instagram.com/uclabiochemase,https://biochemase.wixsite.com/ucla,"BiochemASE is an organization designed to connect and mentor students interested in biochemistry students through networking events, career workshops and more."
Biomedical Engineering Society,Academic,facebook.com/groups/uclabmes,instagram.com/bmesucla,bmes.seas.ucla.edu,Organization Contact Email: bmes@ucla.edu
Chi Epsilon Pi (XEP),Academic,https://twitter.com/xepatucla,https://www.instagram.com/xepatucla/,https://community.ucla.edu/studentorg/4081,"XEP is affiliated with the Atmospheric and Oceanic Sciences Department (AOS), working to serve undergraduate students in the AOS department."
Society of Women Engineers,Academic,https://www.facebook.com/swe.ucla,https://www.instagram.com/swe.ucla/,https://www.swe-ucla.com/#/,
Formula SAE,Academic,,https://instagram.com/bruinracing?utm_medium=copy_link,https://www.bruinracing.com/formula/,
The Undergraduate Psychology Society at UCLA,Academic,,https://www.instagram.com/tupsbruins/,https://tupsbruins.wixsite.com/site,
Association for Computing Machinery,Academic,https://www.facebook.com/uclaacm,https://www.instagram.com/acm.ucla,uclaacm.com,"For in-person NSO, we've typically received 2-4 tables (we have eight subcommittees, and each committee is functionally its own club), and coordinated them all together; this year, I see ACM Teach LA and ACM-W as separate clubs. Will follow up!"
Renewable Energy Association at UCLA,Academic,https://www.facebook.com/uclarea/,https://www.instagram.com/reaucla/?hl=en,https://www.rea.seas.ucla.edu/,
Design Build Fly at UCLA,Academic,https://m.facebook.com/DesignBuildFlyUCLA/,https://www.instagram.com/designbuildflyatucla/,,
Genetic Counseling Student Interest Group at UCLA,Academic,https://www.facebook.com/gcsig/,,https://gcsigucla.wixsite.com/gcsiucla,Pre-Health/Professional Development
Latinas Guiding Latinas,Academic,https://www.facebook.com/lgldeucla/,https://www.instagram.com/latinas_guiding_latinas/,https://sites.google.com/site/latinasguidinglatinasdeucla/,
Association of First-Generation Undergraduates (AFGU),Academic,https://www.facebook.com/afguucla/,https://www.instagram.com/afgu_ucla/,,
Institute of Transportation Engineers,Academic,https://www.facebook.com/iteatucla,@ite_ucla,https://iteucla.wordpress.com,
Association of Students in Child Development,Academic,https://m.facebook.com/pages/category/Community/Association-of-Students-in-Child-Development-at-UCLA-106031054592662/,https://www.instagram.com/ucla_ascd/?hl=en,,Our club is heavily associated with the ADP minor as well if that helps with placing the booth in the right location
ACM Teach LA,Academic,https://www.facebook.com/acmteachla,https://www.instagram.com/acm.teachla/,https://teachla.uclaacm.com/,ACM Teach LA is a subcommittee of the Association for Computing Machinery (ACM).
Society of Asian Scientists and Engineers,Academic,https://www.facebook.com/groups/saseucla,,http://saseucla.weebly.com/,It's a STEM focused organization
CityLab at UCLA,Academic,https://www.facebook.com/citylabatucla,https://www.instagram.com/citylabatucla/,https://www.citylabatucla.com/?ltclid=5b7bdfe7-c1db-45a3-a561-d7a34e96ee54,
The Astronomical Society,Academic,https://www.facebook.com/UCLA.UAS,https://www.instagram.com/astrosocietyucla/,,
Collaboration in Undergraduate Research Enrichment at UCLA,Academic,,,http://cureatucla.weebly.com/,
American Indian Science and Engineering Society (AISES),Academic,,https://instagram.com/ucla_aises?utm_medium=copy_link,https://aisesatucla.wixsite.com/aisesucla,
Alpha Epsilon Delta - The Health Pre-Professional Honor Society,Academic,https://www.facebook.com/aeducla,https://www.instagram.com/uclaaed/,https://aedatucla.com/,
Pacific Basin Law Journal,Academic,N/A,N/A,https://law.ucla.edu/academics/journals/pacific-basin-law-journal,N/A
"Upsilon Pi Epsilon, The Computer Science Honor Society",Academic,https://www.facebook.com/upe.ucla/,https://www.instagram.com/uclaupe/?hl=en,https://upe.seas.ucla.edu/,
International Society for Pharmaceutical Engineering,Academic,https://www.facebook.com/groups/210080917626/,https://www.instagram.com/uclaispe/,https://ucla-ispe.weebly.com/,
The Data Science Union,Academic,https://www.facebook.com/DSUatUCLA,https://www.instagram.com/dsuatucla/,https://datascienceunion.com/,"Interested in exploring a career in data science? Want to join a community of students passionate about data? Apply to the Data Science Union at UCLA! The Data Science Union is a professional student organization that aims to cultivate a community of data science professionals at UCLA. The three components of our club prepare members for careers in data science: our self-designed curriculum, client-facing projects, and professional development opportunities."
Eta Sigma Phi - Honorary Society for Classical Studies,Academic,,,,
DataRes at UCLA,Academic,https://www.facebook.com/ucladatares,https://www.instagram.com/ucladatares/,https://datares.github.io/#/,
Undergraduate Journal Club,Academic,https://m.facebook.com/ujcucla,https://instagram.com/ujcucla?utm_medium=copy_link,,
Pre-Physician Assistant Club at UCLA,Academic,https://www.facebook.com/groups/uclaprepaclub,http://instagram.com/prepaclubatucla/,https://prepaatucla.weebly.com,Interested in medicine but don't want to go to med school?
Nu Rho Psi,Academic,https://m.facebook.com/Nu-Rho-Psi-UCLA-Chapter-106384884548439/,https://instagram.com/nurhopsi_ucla?utm_medium=copy_link,https://nurhopsiucla.wixsite.com/website,
Baja SAE,Academic,https://www.facebook.com/bruinracing/,https://www.instagram.com/bruinracing/?hl=en,https://www.bruinracing.com/baja/,
Aleph: Undergraduate Research Journal for the Humanities and Social Sciences,Academic,alephjournal,aleph_ucla,http://aleph.humanities.ucla.edu/,
American Institute of Aeronautics and Astronautics at UCLA,Academic,https://www.facebook.com/UCLA.AIAA/,@aiaa_ucla,http://aiaa.seas.ucla.edu/index.html,
Statistics Students Association,Academic,https://www.facebook.com/groups/131349176916551/,instagram.com/statistics.ucla/,,
Pre-Dental Society,Academic,https://www.facebook.com/UCLAPreDentalSociety/,https://www.instagram.com/pdsucla/?hl=en,,
Hack at UCLA,Academic,https://www.facebook.com/groups/1134478866601931,https://www.instagram.com/uclahack/,https://hack.uclaacm.com/,We're a beginner-friendly organization for learning about computer science and software development! No prior experience is required.
Pre-Medical Peer Association,Academic,https://www.facebook.com/groups/98119560229/?ref=share,@ucla.premedpeers,https://uclappa.wordpress.com/about/,"Pre Medical club that provides students with information and live presentations on the Medical School Application, MCAT, and various medical fields through weekly meetings and professional speakers"
Bruin Allies for Duchenne,Academic,https://www.facebook.com/search/top?q=bruins%20allies%20for%20duchenne,https://www.instagram.com/bruinalliesforduchenne/,,"Bruin Allies for Duchenne (BAD) is focused on spreading awareness of muscle dystrophy by teaching, outreach, and fundraising."
3D4E at UCLA,Academic,https://m.facebook.com/3D4EatUCLA/,https://instagram.com/3d4eatucla?utm_medium=copy_link,http://3d4eatucla.github.io/,
BruinSynaptoGenesis (BSG),Academic,https://www.facebook.com/bruinsynaptogenesis/,https://instagram.com/bsgatucla?utm_medium=copy_link,http://bruinsynaptogenesis.com/,Professional Development for Psych & Related Majors
Pre-Optometry Society at UCLA,Academic,https://www.facebook.com/groups/uclapreopt,https://www.instagram.com/uclapreoptometry/?hl=en,https://uclapreopt.wixsite.com/pre-optometry,
Pre-Pharmacy Society at UCLA,Academic,https://www.facebook.com/uclaprepharm,https://instagram.com/uclaprepharm,https://www.uclaprepharm.com/,"Through various speakers (such as admissions representatives, pharmacy students, and pharmacists), networking, peer mentorship, and informational meetings, the Pre-Pharmacy Society at UCLA strives to keep our members informed on issues that concern them as future healthcare practitioners. Furthermore, we make every effort to develop UCLA’s students into future leaders in the field of pharmacy."
Students for Integrative Medicine (formerly SIM),Academic,https://www.facebook.com/SIMatUCLA/,https://www.instagram.com/simatucla/?hl=en,https://simatucla.wixsite.com/uclasim,Email: simatucla@gmail.com
Art Science Undergraduate Society,"Academic, Arts / Dance / Theater",https://www.facebook.com/artscienceucla,https://www.instagram.com/artscienceucla/,https://artscienceucla.wixsite.com/website,
Delta Sigma Finance Society,"Academic, Business/ Law / Politics",,,,
The Roosevelt Institute at UCLA,"Academic, Business/ Law / Politics",https://www.facebook.com/RooseveltUCLA,https://www.instagram.com/rooseveltucla/?hl=en,https://community.ucla.edu/studentorg/3875,"Interested in changing the world? Join the Roosevelt Institute at UCLA to rewrite the rules. We are an organization that promotes policymakingand are part of a bigger nationwide network known as the Roosevelt Network. As a Roosevelt chapter, we provide training in policy writing, research, or whatever our members may need to create meaningful policy. Our extensive network of resources includes national policy strategists and members of national think tanks who are willing and able to speak to and aid chapter members with their projects. Our club is welcoming to all people and expect people to come with an open mind."
Korean-American Scientists and Engineers Association at UCLA,"Academic, Cultural",https://www.facebook.com/bruin.ksea/,https://www.instagram.com/bruinksea/,https://bruinksea.weebly.com/,
Club de Español,"Academic, Cultural",https://www.facebook.com/UCLA-El-Club-de-Espa%C3%B1ol-103213568457243/,https://instagram.com/uclaspanishclub?utm_medium=copy_link,,
Bruin Medical Review,"Academic, Health / Wellness / Environment",,https://www.instagram.com/bruinmedicalreview/,https://bruinmedicalreview.com/,
Latinxs/Chicanxs for Community Medicine (LCCM),"Academic, Health / Wellness / Environment",,https://www.instagram.com/lccmbruins/,http://ccmatucla.weebly.com,
IEEE - WIE,"Academic, Health / Wellness / Environment",https://www.facebook.com/uclawatt,https://www.instagram.com/uclawatt/,http://www.ieeewatt.ucla.edu/,
The Rewritten Pre-Medical Experience,"Academic, Health / Wellness / Environment",https://www.facebook.com/UCLA-Rewritten-113576507147140,https://www.instagram.com/rewrittenatucla/,https://rewrittenucla.wixsite.com/rewritten,"To cultivate a safe space for group conversations regarding mental health concerns amongst pre-medical students. We seek to dismantle the harmful notions of perfectionism & validate the emotional strain of academics & individual life experiences. Finally, we want to inspire unabashed scientific inquiry & provide a space to develop confidence in one's social skills."
"Delta Epsilon Mu, Chi Chapter at UCLA","Academic, Health / Wellness / Environment, Student Resources",https://www.facebook.com/ucladem/,https://www.instagram.com/dem__chi/,https://www.ucladem.com/,
Medical Friends at UCLA,"Academic, Health / Wellness / Environment, Student Resources",,https://www.instagram.com/uclamedicalfriends/,https://uclamedicalfriends.weebly.com/,
Graduate Student Water Resources Group,"Academic, Health / Wellness / Environment, Student Resources",,,https://www.ioes.ucla.edu/water/,
Alpha Lambda Delta/Phi Eta Sigma (ALD/PES),"Academic, Leadership / Service",https://www.facebook.com/uclaaldpes/?ltclid=7fa20a81-baa3-44ef-9073-ef4905ba5af2,https://www.instagram.com/uclaaldpes/?hl=en,https://www.uclaaldpes.com/,
She's the First at UCLA,"Academic, Leadership / Service",https://www.facebook.com/shesthefirstucla/,https://www.instagram.com/shesthefirstucla/,https://shesthefirstucla.wixsite.com/website,
TeamX Health (formerly iCareX: Think Innovation),"Academic, Leadership / Service",,,,"We are an educational organization seeking to bridge the gaps in healthcare through service, compassion and sharing knowledge on current health related events."
AI Robotics Ethics Society,"Academic, Leadership / Service",,,https://www.airesucla.org,
Biomedical Research Society at UCLA,"Academic, Leadership / Service",,,,
Mortar Board National Senior Honor Society,"Academic, Leadership / Service",https://m.facebook.com/MBatUCLA/?tsid=0.8501670565406952&source=result,https://www.instagram.com/mortarboarducla/,http://www.mortarboardatucla.org/,
"Chi Epsilon, The Civil Engineering Honor Society","Academic, Leadership / Service",https://www.facebook.com/uclaxe,,https://uclachiepsilon.github.io/,"Chi Epsilon is the official Civil Engineering Honor Society at UCLA. Dedicated to the purpose of maintaining and promoting the status of Civil Engineering as an ideal profession, Chi Epsilon was organized to recognize the characteristics of the individual Civil Engineer deemed to be fundamental to the successful pursuit of an engineering career, and to aid in the development of those characteristics in the Civil Engineering student. Engineering, the application of scientific principles to the practical needs of society, is assuming a constantly increasing responsibility for the physical well-being of all people, and thus calling for competence of a high order. This responsibility can be discharged only by a professional group whose members are possessed of a good basic technical ability, intelligence, moral integrity, and effective social poise in their relationship with the larger community of which they are a part. To contribute to the improvement of the profession, Chi Epsilon fosters the development and exercise of sound traits of character and technical ability among Civil Engineers, and its members, by precept and example, toward an ever higher standard of professional service."
Students for STEM,"Academic, Leadership / Service",,https://www.instagram.com/studentsforstem.ucla/,https://www.studentsforstem.net/,
Association of Indonesian Americans,"Academic, Leadership / Service, Cultural",https://www.facebook.com/ucla.aia,https://www.instagram.com/ucla.aia/,https://www.uclaaia.org/,
Mentorship Program at UCLA,"Academic, Leadership / Service, Cultural, Student Resources",https://www.facebook.com/MentorshipProgramAtUcla/,https://instagram.com/mentorshipucla?utm_medium=copy_link,https://www.mentorshipatucla.org/,N/A
California Health Professional Student Alliance (CaHPSA) Undergraduate,"Academic, Leadership / Service, Health / Wellness / Environment",https://www.facebook.com/cahpsaucla.ugc/,@cahpsaucla,https://www.uclacahpsa.org/,We are a health advocacy and justice organization!
Med X International,"Academic, Leadership / Service, Health / Wellness / Environment",https://www.facebook.com/search/top?q=med%20x%20international%20at%20ucla,https://www.instagram.com/medxinternational_ucla/,,
Geography Association at UCLA,"Academic, Leadership / Service, Health / Wellness / Environment",https://www.facebook.com/groups/uclageographyassociation/,http://instagram.com/ucla.ga/,https://uclageographyassociation.org,"The Geography Association consists of UCLA undergrads of all disciplines who are interested in geography. GA members gain access to professionals and graduate students who work in geography-related fields, as well as a community of geography-minded peers."
American Medical Student Association (AMSA),"Academic, Leadership / Service, Health / Wellness / Environment",https://www.facebook.com/amsabruins,https://www.instagram.com/bruinsamsa/?hl=en,https://amsabruinspr.wixsite.com/amsa,We are a premed organization with the simple mission of equipping bruins to be the best future doctors they can be!
Arab American Association of Engineers and Architects,"Academic, Leadership / Service, Health / Wellness / Environment, Student Resources",https://m.facebook.com/aaaea.bruins/,https://www.instagram.com/aaaea.bruins/,http://aaaeaca.org/bruin-student-chapter/,"We are very excited to attend our first in person activities fair, and we hope to meet everyone interested in our club!"
Mentors Empowering and Nurturing Through Education at UCLA,"Academic, Leadership / Service, Other (if other, provide more information in the question below)",,https://instagram.com/mente_ucla?utm_medium=copy_link,https://mentedeucla.weebly.com/,"Our organization focuses on providing academic resources and access to higher education through the lens of leadership, service, and social justice."
"ACEJAMHANAPAN+, People Against Police Brutality","Academic, Leadership / Service, Religious",https://m.facebook.com/ACEJAMHANAPAN/,https://www.instagram.com/acejamhanapan/,https://linktr.ee/peopleagainstpolicebrutality,
Life Sciences Student Association,"Academic, Leadership / Service, Student Resources",https://www.facebook.com/uclalssa/,https://www.instagram.com/lssaatucla/,https://www.uclalssa.org/,
USAC Academic Affairs Commission,"Academic, Leadership / Service, Student Resources",https://www.facebook.com/UclaUsacAcademicAffairsCommission,https://www.instagram.com/usacaac/?hl=en,https://www.usacacademicaffairscommission.com/,"The Academic Affairs Commission fights for student voices to be maximized in discussions regarding education and academic policy. Through various resources and programs, the Academic Affairs Commission strives to expand access, equity, and retention, bridge academic disparities, and combat systemic barriers to higher education."
Projecting Minds,"Academic, Leadership / Service, Student Resources",,,,"Projecting Minds is a student organization that focuses on mentoring and assisting elementary school students from underserved communities. Projecting Minds also focuses on mentoring the service recipients to encourage collaboration, motivation, and participation towards future successes."
Bountiful Bioethics at UCLA,"Academic, Leadership / Service, Student Resources",,https://www.instagram.com/bountifulbioethics_ucla/,https://linktr.ee/bountifulbioethics_UCLA,We are looking for new members!
IEEE Eta Kappa Nu,"Academic, Leadership / Service, Student Resources",https://www.facebook.com/hkn.ucla,https://www.instagram.com/uclahkn/?hl=en,,Discord: https://discord.gg/deK36Bb
ASME at UCLA,"Academic, Other (if other, provide more information in the question below)",https://www.facebook.com/asmebruins/,https://www.instagram.com/asmebruins/?hl=en,asmebruins.com,Engineering
Rocket Project at UCLA,"Academic, Other (if other, provide more information in the question below)",https://www.facebook.com/rocketprojectatucla/,https://www.instagram.com/uclarocketproject/,http://rocketproject.seas.ucla.edu/,Engineering club
Product Space,"Academic, Other (if other, provide more information in the question below)",https://www.facebook.com/productspaceucla,https://www.instagram.com/uclaproductspace/,https://www.productspace.org/ucla,"We teach students how to create & analyze Products and offer a Space to learn and apply their skills in Product Management, Product Marketing, and Product Design. recruiting in the early fall quarter (weeks 2-5), open to all grades and majors"
Bruin Spacecraft Group,"Academic, Other (if other, provide more information in the question below)",https://www.facebook.com/uclaBruinSpace/,https://www.instagram.com/uclabruinspace,https://bruinspace.com/,"Bruin Spacecraft Group was founded with the intent of providing a creative and supportive environment for space mission design and development at UCLA. Here, students of all backgrounds can come together, united by a passion for space, to do something amazing. Here, we aim to give students the opportunity to acquire the skills necessary to become leaders in the space industry."
NoCode,"Academic, Other (if other, provide more information in the question below)",https://www.facebook.com/nocodeucla,https://www.instagram.com/nocodeucla,https://www.nocodeclub.org/,The club’s category is Entrepreneurship and Technology
Pre-Professional Advisement and Training Honor Society (PATHS),"Academic, Other (if other, provide more information in the question below)",https://www.facebook.com/Pre-Professional-Advisement-and-Training-Honor-Society-112840156965742/,https://www.instagram.com/paths.ucla/?hl=en,https://pathsucla.weebly.com,"In addition to being an academic organization, we also help with career planning"
Pre-Med Undergraduate Mentorship Program,"Academic, Student Resources",,https://www.instagram.com/pump.ucla/,http://uclapump.wordpress.com,We are a pre-med only org that provides mentorship opportunities to pre-meds and have workshops and events catered to pre-meds.
Pre-Med Community at UCLA,"Academic, Student Resources",https://www.facebook.com/UCLAPreMedCommunity/,https://www.instagram.com/uclapremedcommunity/,https://uclapremedcommunity.weebly.com/,We are 100% non-competitive and open to every student! No applications or fees required
Sociology Undergraduate Association,"Academic, Student Resources",https://www.facebook.com/groups/sociologyundergraduateassociation/,https://www.instagram.com/uclasua/?hl=en,,
"Tau Beta Pi, The Engineering Honor Society","Academic, Student Resources",https://www.facebook.com/tbp.ucla/,https://www.instagram.com/uclatbp/,https://tbp.seas.ucla.edu,
Association for Computing Machinery - Women,"Academic, Student Resources",https://www.facebook.com/groups/535316406570681,,,
STEMNewsNexus at UCLA: Blog of Preprints and New Publications,"Academic, Student Resources, Other (if other, provide more information in the question below)",https://m.facebook.com/profile.php?id=102246358288348&ref=content_filter,https://www.instagram.com/stemnewsnexus/,,
Raas Team at UCLA,Arts / Dance / Theater,https://www.facebook.com/bataaka.nushaak,https://www.instagram.com/bataakanushaak/,,
Bruin Origami For All (BOFA),Arts / Dance / Theater,https://www.facebook.com/bruinorigami,https://www.instagram.com/bruinorigami/,https://bruinorigami.com/,
"Westwood Enabler, The",Arts / Dance / Theater,https://www.facebook.com/westwoodenablerucla,https://www.instagram.com/westwoodenabler/,http://westwoodenabler.com/,
